Ticker,Company Name,Last,Change,Change %,Market Cap,Volume,Average Volume,P/E,Open,High,Low,52 Week High,52 Week Low,Bid Price,Ask Price,
CSL,CSL LIMITED,212.81,+0.10,0.05,103.043B,516K,1.12M,22.33,212.00,213.35,210.50,307.67,208.35,212.80,212.81,tp;dl;sli;
TLX,TELIX PHARMACEUTICALS LTD,14.89,-0.06,-0.37,5.04B,4.97M,2.28M,101.77,15.00,15.44,14.82,31.97,16.00,14.89,14.90,tp;dl;sa;
MSB,MESOBLAST LTD,2.18,-0.24,-9.92,2.79B,9.88M,6.02M,,2.36,2.37,2.11,3.37,0.915,2.18,2.19,tp;dl;sli;
CU6,CLARITY PHARMACEUTICALS LTD,3.03,-0.15,-4.72,1.127B,3.14M,4.14M,,3.15,3.19,2.98,8.98,1.430,3.03,3.04,tp;dl;sli;
IMM,IMMUTEP LTD,0.240,-0.005,-2.04,352.288M,6.61M,3.72M,,0.250,0.250,0.235,0.415,0.222,0.235,0.240,tp;dl;euil;sli;
OCC,ORTHOCELL LTD,1.235,+0.035,2.92,302.328M,344K,763K,,1.200,1.235,1.195,1.790,0.365,1.225,1.235,tp;dl;euil;sli;
DXB,DIMERIX LTD,0.445,0.000,,267.082M,1.47M,2.10M,,0.445,0.450,0.445,0.785,0.300,0.445,0.450,tp;dl;euil;sli;
TTX,TETRATHERIX LTD,4.20,+0.10,2.44,111.437M,784,65.3K,,4.15,4.20,4.15,5.60,2.88,4.10,4.19,tp;dl;euil;sli;
PEB,PACIFIC EDGE LTD,0.125,0.000,,127.767M,9.74K,25.3K,,0.125,0.125,0.125,0.180,0.054,0.120,0.135,tp;dl;euil;sli;
DAI,DECIDR AI INDUSTRIES LTD,0.640,-0.025,-3.76,121.458M,271K,671K,1.31,0.690,0.695,0.625,1.060,0.340,0.640,0.645,tp;dl;euil;sli;
RCE,RECCE PHARMACEUTICALS LTD,0.420,0.000,,121.457M,9.54K,202K,,0.420,0.430,0.420,0.569,0.275,0.420,0.430,tp;dl;euil;sli;
ATH,ALTERITY THERAPEUTICS LTD,0.013,+0.001,8.33,119.714M,8.28M,21.5M,,0.013,0.013,0.013,0.019,0.002,0.013,0.014,tp;dl;euil;sli;
BXN,BIOXYNE LTD,0.052,-0.006,-10.34,112.935M,15.9M,8.18M,40.62,0.060,0.060,0.049,0.060,0.009,0.051,0.052,tp;dl;euil;sli;
BIO,BIOME AUSTRALIA LTD,0.530,-0.010,-1.85,116.923M,73.9K,512K,424,0.540,0.540,0.520,0.870,0.385,0.525,0.530,tp;dl;euil;sli;
